classification,avg_pnl,median_pnl,avg_win_rate,pnl_volatility,worst_day
Extreme Greed,35393.0983548,0.0,0.3366088629719345,85325.49990240615,-7919.471032000002
Fear,209372.6622054375,81389.6825155,0.4158784540695092,380423.90686389175,-59349.677108
Greed,99675.5167305,35988.3764365,0.37407443523093875,282694.28552609455,-327505.900056
Neutral,19842.79725975,-0.41864,0.26068321950310835,57227.787894724344,-25991.506339
