Account,timestamp,daily_pnl,net_daily_pnl,trades_per_day,avg_trade_size,win_rate,long_ratio,total_fees,classification,activity_segment,volatility_segment_x,volatility_segment_y,volatility_segment
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,60346.72884,328,8444.161189024391,0.4115853658536585,0.0,729.438968,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,606419.70745881,3806,8998.349072517078,0.4952706253284288,0.0,6908.11976519,Fear,High Activity,High Volatility,High Volatility,High Volatility
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,-9508.6292,730,6219.798493150685,0.30684931506849317,0.0,1589.158168,Extreme Greed,High Activity,High Volatility,High Volatility,High Volatility
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,-30660.199583000005,1309,10190.317929717341,0.3315508021390374,0.0,4668.693244,Neutral,High Activity,High Volatility,High Volatility,High Volatility
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,100564.053495,1703,19645.16682912507,0.3282442748091603,0.0,10666.444512,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,200814.71250999998,3737,20468.303636606903,0.39175809472839174,0.0,23153.658382999998,Fear,High Activity,High Volatility,High Volatility,High Volatility
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,-12.38025211,223,3261.5788789237668,0.0,0.0,12.38025211,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,375344.91759342,5777,28304.44506318158,0.4156136402977324,0.0,28156.73061558,Fear,High Activity,High Volatility,High Volatility,High Volatility
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,101502.347358,250,525.47136,1.0,0.0,36.926673,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,6858.6623190676,572,891.0710664335664,0.2692307692307692,0.0,120.6785519324,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,327216.515076,202,16311.138465346536,0.5148514851485149,0.0,329.484916,Greed,Low Activity,High Volatility,High Volatility,High Volatility
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,97139.97511670999,932,8098.078723175966,0.43991416309012876,0.0,1129.21995629,Fear,Low Activity,High Volatility,High Volatility,High Volatility
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,51644.855386,419,2305.200429594272,0.028639618138424822,0.0,92.724032,Greed,Low Activity,High Volatility,High Volatility,High Volatility
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,341756.92135283997,939,2123.4002662406815,0.3961661341853035,0.0,188.51338816,Fear,Low Activity,High Volatility,High Volatility,High Volatility
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,187436.67582899999,3041,3677.8091055573827,0.8240710292666886,0.0,405.408361,Extreme Greed,High Activity,High Volatility,High Volatility,High Volatility
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,0.11571700000000051,6,34.916666666666664,0.16666666666666666,0.0,0.047003,Neutral,High Activity,High Volatility,High Volatility,High Volatility
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,37233.42552132,1016,2056.391348425197,0.8208661417322834,0.0,292.90635568,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,134468.722261,4885,2330.3033080859777,0.7985670419651996,0.0,1739.321652,Fear,High Activity,High Volatility,High Volatility,High Volatility
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,14010.36119204,1554,3643.361287001287,0.4510939510939511,0.0,771.08185496,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,-0.12958992,15,2333.2533333333336,0.0,0.0,0.12958992,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,195419.60423199998,3056,2249.731112565445,0.28763089005235604,0.0,884.188615,Fear,High Activity,High Volatility,High Volatility,High Volatility
